api_unii,smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
6UXW23996M,C1CNP(=O)(N(CCCl)CCCl)OC1,261.089,1.884,41.57000000000001,1.0,2.0,5.0,0.0,1.0,1.0,1.0,14.0,84.0,59.19120000000003,94.44153500749827,2.582264028481673,174.21499122004107,0.69,1.0,7.0,1.0
0Z5B2CJX4D,C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)[18F],181.149938,-2.4016,97.99,4.0,5.0,5.0,0.0,0.0,0.0,0.8333333333333334,12.0,72.0,36.06619999999999,68.06795411156662,4.070579536848795,126.0,-0.5599999999999999,0.0,6.0,4.0
4B93MGE4AL,C=CC(=O)N1CC[C@@]([H])(C1)n2c3c(c(C#Cc4cc(cc(c4)OC)OC)n2)c(N)ncn3,418.45700000000016,1.7848999999999997,108.39,1.0,7.0,4.0,3.0,1.0,4.0,0.2727272727272727,31.0,158.0,115.69240000000002,179.02318266693217,1.7487941834724563,1165.7318551031722,-4.06,1.0,9.0,2.0
TJ2M0FR8ES,CC1=C[C@]2([H])[C@]([H])(CC[C@@]3(C)[C@@]2([H])CC[C@@]3(C(=O)C)OC(=O)C)[C@@]4(C)CCC(=O)C=C14,384.5160000000002,4.575300000000004,60.440000000000005,0.0,4.0,2.0,0.0,4.0,4.0,0.7083333333333334,28.0,152.0,106.41100000000009,167.32850051010428,1.7900315303594403,803.8949464100463,-1.71,2.0,4.0,0.0
FO2303MNI2,COC(=O)/C=C/C(=O)OC,144.12599999999998,-0.1114000000000001,52.60000000000001,0.0,4.0,2.0,0.0,0.0,0.0,0.3333333333333333,10.0,56.0,33.172,58.42449322672962,3.7526030864834095,131.42124551085624,-1.32,0.0,4.0,0.0
VVJ6673MHY,c1c(cc(c(c1Cl)Cl)S(=O)(=O)N)S(=O)(=O)N,305.16400000000004,0.2882000000000004,120.31999999999998,2.0,4.0,2.0,1.0,0.0,1.0,0.0,16.0,90.0,59.208400000000005,102.23926875211588,3.7245203625070777,604.247311128807,-0.3800000000000001,0.0,10.0,4.0
QTG126297Q,c1ccc(c(c1)CC(=O)[O-])Nc2c(cccc2Cl)Cl.[Na+],318.135,0.0333999999999994,52.16,1.0,3.0,4.0,2.0,0.0,2.0,0.0714285714285714,20.0,98.0,74.89770000000003,148.7439316666773,1.9999988342507e-06,570.4873475976799,-0.7099999999999995,0.0,6.0,1.0
V2P3K60DA2,C(CCOc1ccc(cc1)C(=N)N)CCOc2ccc(cc2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,592.6930000000004,0.6158400000000022,267.4,8.0,10.0,14.0,2.0,0.0,2.0,0.391304347826087,39.0,220.0,146.76000000000005,227.63783626702428,8.482142112764469e-07,1050.1043518918982,-3.28,0.0,16.0,10.0
XXE1CET956,Cc1c(CC(=O)O)c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC,357.79300000000006,3.9273200000000026,68.53,1.0,3.0,4.0,3.0,0.0,3.0,0.1578947368421052,25.0,128.0,95.74730000000002,148.948093745561,2.232371733378279,945.862148454102,-2.79,0.0,6.0,1.0
QE4VW5FO07,CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl,277.236,0.5509999999999997,64.52,4.0,4.0,9.0,0.0,0.0,0.0,1.0,16.0,102.0,72.83100000000003,111.01810843410595,-8.449997806250585e-07,84.60593781761291,0.4199999999999999,0.0,6.0,4.0
